month,09A,09B,09C,09D,100,11A,11B,11C,11D,13A,13A*,13B,13C,36A,36B,64A,64B,Person,120,120*,200,210,220,23A,23B,23C,23D,23E,23F,23G,23H,240,250,26A,26B,26C,26D,26E,26F,26G,270,280,290,510,90A,Property,35A,35B,370,39A,39B,39C,39D,40A,40B,40C,520,720,90B,90C,90D,90E,90F,90G,90H,90J,Society,90Z,Unspecified,Violent,Total
2022-09,0,0,0,0,0,0,0,0,0,2,0,7,1,0,0,0,0,10,0,0,0,0,8,1,0,1,1,0,4,0,3,16,0,0,0,0,0,0,0,0,0,4,15,0,0,53,5,0,0,0,0,0,0,0,0,0,8,1,0,2,0,0,0,0,0,1,17,10,10,2,90
2022-10,2,1,0,0,0,0,0,0,0,9,0,8,1,0,0,0,0,21,1,0,0,0,2,0,0,0,0,0,7,3,1,14,0,1,0,0,0,0,0,0,0,4,27,0,0,60,6,2,2,0,0,0,0,0,0,0,11,0,0,1,0,0,3,0,0,1,26,11,11,12,118
2022-11,1,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,10,1,0,0,0,10,0,0,0,1,0,5,2,2,14,0,0,1,0,0,0,0,0,0,2,12,0,0,50,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,8,19,19,6,87
2022-12,0,0,0,0,0,0,1,0,0,3,0,4,2,0,0,0,0,10,0,0,1,0,5,0,0,1,7,0,3,7,3,17,0,1,2,0,0,0,0,0,0,2,20,0,0,69,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,13,15,15,3,107
2023-01,0,0,0,0,0,0,1,0,1,2,0,11,2,0,0,0,0,17,1,0,0,0,5,1,1,0,3,0,5,4,4,13,0,1,1,0,0,0,0,0,0,2,17,0,0,58,2,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,10,18,18,3,103
2023-02,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,9,1,0,0,0,3,0,0,0,3,0,5,3,1,8,1,0,1,0,0,0,0,0,0,1,10,0,0,37,6,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,4,19,11,11,2,76
2023-03,0,0,0,0,0,1,1,0,0,2,0,7,0,0,0,0,0,11,0,0,0,0,8,0,0,0,3,0,2,0,6,2,0,0,1,0,0,0,0,0,0,3,7,0,0,32,5,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,3,19,8,8,3,70
2023-04,0,0,0,0,0,0,0,0,0,4,0,5,2,0,0,0,0,11,0,0,1,0,6,0,0,0,3,0,3,1,2,5,1,0,0,0,0,0,1,0,0,1,10,0,0,34,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,1,11,10,10,4,66
2023-05,0,0,0,0,2,0,1,0,0,9,0,7,2,0,0,0,0,21,1,0,0,0,6,0,0,0,2,0,4,2,5,8,0,0,0,0,0,0,0,0,0,0,13,0,0,41,4,3,0,0,0,0,0,0,0,0,13,0,0,2,0,0,2,0,0,2,26,11,11,10,99
2023-06,1,0,0,0,0,1,1,0,0,5,0,4,4,0,0,0,0,16,1,0,0,0,8,0,1,1,7,0,2,1,4,14,0,0,0,0,0,0,0,0,0,4,9,0,0,52,4,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,1,18,16,16,8,102
2023-07,1,0,0,0,0,0,0,0,0,7,0,6,2,0,0,0,0,16,2,0,0,0,9,0,0,0,5,0,3,3,2,17,0,0,0,0,0,0,0,0,0,0,13,0,0,54,1,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,1,12,21,21,10,103
2023-08,1,0,0,0,1,0,1,0,0,12,0,7,2,0,0,0,0,24,2,0,1,0,6,0,0,0,1,0,8,1,4,13,1,1,0,0,0,0,0,0,0,2,16,0,0,56,4,1,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,4,28,14,14,15,122
2023-09,2,0,0,0,1,0,0,0,0,13,0,11,1,0,0,0,0,28,9,0,1,0,4,0,0,0,1,0,3,1,6,11,0,0,3,0,0,0,0,0,0,2,11,0,0,52,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,2,22,21,21,24,123
2023-10,1,0,0,0,1,0,0,0,0,5,0,8,2,0,0,0,0,17,1,0,1,0,8,0,2,0,5,0,9,1,2,16,0,0,0,0,0,0,0,0,0,0,10,0,0,55,4,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,1,17,13,13,7,102
2023-11,0,0,0,0,0,0,0,0,0,3,0,7,5,0,0,0,0,15,1,0,0,0,2,0,0,0,2,0,3,2,2,12,0,1,1,0,0,0,0,0,0,3,14,0,0,43,3,1,1,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,1,16,15,15,4,89
2023-12,1,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,9,1,0,1,0,4,0,0,0,1,0,3,1,1,16,0,0,0,0,0,0,0,0,0,2,7,0,0,37,7,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,14,16,16,5,76
