month,09A,09B,09C,09D,100,11A,11B,11C,11D,13A,13A*,13B,13C,36A,36B,64A,64B,Person,120,120*,200,210,220,23A,23B,23C,23D,23E,23F,23G,23H,240,250,26A,26B,26C,26D,26E,26F,26G,270,280,290,510,90A,Property,35A,35B,370,39A,39B,39C,39D,40A,40B,40C,520,720,90B,90C,90D,90E,90F,90G,90H,90J,Society,90Z,Unspecified,Violent,Total,ytd,Total_YTD,Violent_YTD,Unspecified_YTD,Society_YTD,Property_YTD,Person_YTD
2022-10-01,13,1,1,0,10,9,6,0,6,227,0,197,76,0,0,0,0,546,58,0,14,0,239,4,5,27,124,0,428,218,200,954,12,10,23,2,0,7,2,0,2,118,946,0,0,3393,114,25,7,0,0,0,0,0,0,0,300,2,1,71,8,0,18,3,0,87,636,878,878,307,5453,50204,50204,3123,8413,6733,29640,5418
2022-11-01,16,0,0,0,17,10,9,0,3,207,0,220,41,0,1,0,0,524,76,0,9,0,208,2,6,43,142,3,423,229,176,718,29,8,18,1,0,5,10,0,2,92,853,0,0,3053,99,21,2,0,0,0,0,0,1,0,222,2,0,74,5,0,14,1,0,78,519,786,786,309,4882,55086,55086,3432,9199,7252,32693,5942
2022-12-01,13,1,2,0,8,5,2,0,1,206,0,189,49,0,1,0,0,477,77,0,11,0,186,8,4,34,137,1,495,246,183,643,22,9,41,1,0,6,8,0,3,107,921,1,0,3144,95,22,3,0,0,0,0,0,1,0,279,1,0,61,6,0,14,3,0,60,545,812,812,301,4978,60064,60064,3733,10011,7797,35837,6419
2023-01-01,11,1,0,0,15,12,13,0,4,216,0,184,47,0,1,1,0,505,68,0,13,0,152,6,5,34,143,1,520,290,163,742,19,9,32,0,0,5,12,0,0,114,1042,0,0,3370,123,25,6,0,0,0,0,0,0,0,300,1,1,59,5,0,14,2,0,69,605,795,795,307,5275,5275,5275,307,795,605,3370,505
2023-02-01,16,1,1,0,13,10,7,0,4,175,0,197,64,0,0,1,0,489,60,0,11,0,160,3,4,41,129,1,383,246,161,523,15,25,22,2,0,1,9,0,1,111,894,0,0,2802,113,28,2,0,0,0,0,0,0,0,314,1,0,67,11,0,11,6,0,76,629,728,728,261,4648,9923,9923,568,1523,1234,6172,994
2023-03-01,8,1,0,0,14,10,8,0,5,197,0,233,53,1,3,0,0,533,42,0,6,0,185,10,6,45,120,4,246,174,209,506,14,16,13,2,0,2,10,0,2,99,640,0,0,2351,120,30,4,0,0,0,0,0,0,0,329,2,0,76,8,0,13,2,0,91,675,877,877,257,4436,14359,14359,825,2400,1909,8523,1527
2023-04-01,11,1,0,0,11,13,12,0,8,226,0,235,76,0,2,0,0,595,51,0,16,0,173,5,3,33,128,0,277,145,201,431,28,24,10,1,0,5,7,0,0,88,634,0,0,2260,114,28,3,0,0,0,0,0,0,0,441,2,0,85,7,0,7,16,0,95,798,829,829,301,4482,18841,18841,1126,3229,2707,10783,2122
2023-05-01,21,0,2,0,16,9,9,0,5,277,0,264,57,0,2,0,0,662,63,0,6,0,165,8,7,53,113,1,355,190,207,542,28,35,21,1,0,5,10,0,0,83,739,1,0,2633,105,30,5,0,0,0,0,0,0,0,444,2,3,81,8,0,20,54,0,90,842,815,815,370,4952,23793,23793,1496,4044,3549,13416,2784
2023-06-01,13,0,1,0,11,12,11,0,8,285,0,265,80,0,3,0,0,689,60,0,5,0,163,5,6,78,121,0,323,135,171,528,19,15,18,0,0,8,4,0,4,71,646,0,0,2380,113,29,3,0,0,0,0,1,0,0,435,2,3,88,14,0,14,43,0,94,839,768,768,370,4676,28469,28469,1866,4812,4388,15796,3473
2023-07-01,9,0,0,0,10,8,9,0,2,217,0,258,80,0,2,0,0,595,57,0,7,0,197,10,1,54,147,5,365,124,223,640,27,9,16,1,0,7,2,0,6,75,778,0,0,2751,110,19,1,0,0,0,0,0,0,0,415,3,0,99,7,0,12,24,0,88,778,800,800,291,4924,33393,33393,2157,5612,5166,18547,4068
2023-08-01,13,1,0,0,14,8,8,0,4,223,0,252,89,0,0,0,0,612,79,0,3,0,205,8,9,68,150,0,378,104,201,463,26,14,10,0,0,7,8,0,5,77,726,0,0,2541,110,26,9,0,0,0,0,0,0,0,390,2,0,89,7,0,11,21,0,102,767,842,842,323,4762,38155,38155,2480,6454,5933,21088,4680
2023-09-01,17,0,0,0,15,10,8,0,3,231,0,286,82,0,0,0,0,652,59,0,4,0,185,4,6,52,144,0,407,107,199,504,25,16,22,3,0,6,5,0,1,66,762,0,0,2577,102,28,5,0,0,0,0,1,0,1,411,3,2,85,6,0,14,8,0,96,762,752,752,317,4743,42898,42898,2797,7206,6695,23665,5332
2023-10-01,13,0,0,0,13,9,7,0,5,236,0,277,73,0,0,0,0,633,77,0,9,0,194,6,5,61,118,2,531,97,161,552,23,17,17,3,0,5,9,2,3,57,1050,0,0,2999,86,20,0,0,0,0,0,0,0,0,396,5,0,84,3,0,19,2,0,82,697,738,738,335,5067,47965,47965,3132,7944,7392,26664,5965
2023-11-01,7,1,1,0,10,4,5,0,2,162,0,255,71,0,5,0,0,523,72,0,3,0,167,3,4,51,86,1,435,82,171,474,20,14,20,3,0,3,5,0,0,77,864,0,0,2555,98,24,4,0,0,0,0,0,0,0,353,1,0,73,4,0,11,1,0,82,651,682,682,245,4411,52376,52376,3377,8626,8043,29219,6488
2023-12-01,11,0,1,0,10,5,7,0,5,193,0,261,49,0,0,0,0,542,61,0,9,0,167,2,1,41,124,0,375,95,158,465,12,8,24,2,0,1,3,0,2,67,785,0,0,2402,81,19,1,0,0,0,0,0,0,0,323,4,0,90,8,0,15,0,0,57,598,613,613,270,4155,56531,56531,3647,9239,8641,31621,7030
