,Date,Type,B_Zero,B_Low,B_Medium,B_High
141,2022-07-17,Single-Family,79.0,130.0,91.0,103.0
142,2022-07-17,Residential,139.0,235.0,185.0,239.0
143,2022-07-17,Mixed-Use/Other,0.0,5.0,1.0,5.0
144,2022-08-11,Commercial,5.0,5.0,7.0,11.0
145,2022-08-11,Duplex,52.0,81.0,63.0,88.0
146,2022-08-11,Empty Lot,24.0,68.0,9.0,86.0
147,2022-08-11,Mixed-Use,0.0,5.0,1.0,5.0
148,2022-08-11,Multi-Unit,15.0,24.0,28.0,45.0
149,2022-08-11,Single-Family,85.0,126.0,83.0,99.0
150,2022-08-11,Residential,152.0,231.0,174.0,232.0
151,2022-08-11,Mixed-Use/Other,0.0,5.0,1.0,5.0
152,2022-09-13,Commercial,5.0,5.0,7.0,11.0
153,2022-09-13,Duplex,35.0,79.0,61.0,87.0
154,2022-09-13,Empty Lot,23.0,66.0,11.0,93.0
155,2022-09-13,Mixed-Use,0.0,5.0,1.0,5.0
156,2022-09-13,Multi-Unit,11.0,26.0,23.0,44.0
157,2022-09-13,Single-Family,52.0,122.0,79.0,97.0
158,2022-09-13,Residential,98.0,227.0,163.0,228.0
159,2022-09-13,Mixed-Use/Other,0.0,5.0,1.0,5.0
160,2022-10-18,Commercial,2.0,7.0,7.0,9.0
161,2022-10-18,Duplex,21.0,74.0,69.0,88.0
162,2022-10-18,Empty Lot,29.0,62.0,12.0,93.0
163,2022-10-18,Mixed-Use,0.0,4.0,2.0,5.0
164,2022-10-18,Multi-Unit,4.0,26.0,25.0,43.0
165,2022-10-18,Single-Family,30.0,128.0,87.0,97.0
166,2022-10-18,Residential,55.0,228.0,181.0,228.0
167,2022-10-18,Mixed-Use/Other,0.0,4.0,2.0,5.0
168,2022-11-17,Commercial,2.0,7.0,7.0,9.0
169,2022-11-17,Duplex,21.0,76.0,64.0,92.0
170,2022-11-17,Empty Lot,28.0,64.0,12.0,88.0
171,2022-11-17,Mixed-Use,0.0,4.0,2.0,5.0
172,2022-11-17,Multi-Unit,5.0,25.0,26.0,43.0
173,2022-11-17,Single-Family,31.0,128.0,89.0,96.0
174,2022-11-17,Residential,57.0,229.0,179.0,231.0
175,2022-11-17,Mixed-Use/Other,0.0,4.0,2.0,5.0
176,2022-12-26,Commercial,2.0,7.0,6.0,10.0
177,2022-12-26,Duplex,26.0,72.0,72.0,85.0
178,2022-12-26,Empty Lot,35.0,65.0,14.0,87.0
179,2022-12-26,Mixed-Use,0.0,5.0,1.0,5.0
180,2022-12-26,Multi-Unit,4.0,23.0,24.0,45.0
181,2022-12-26,Single-Family,31.0,125.0,91.0,97.0
182,2022-12-26,Residential,61.0,220.0,187.0,227.0
183,2022-12-26,Mixed-Use/Other,0.0,5.0,1.0,5.0
184,2023-03-28,Commercial,2.0,8.0,8.0,7.0
185,2023-03-28,Duplex,16.0,67.0,66.0,69.0
186,2023-03-28,Empty Lot,51.0,56.0,8.0,77.0
187,2023-03-28,Mixed-Use,0.0,6.0,0.0,5.0
188,2023-03-28,Multi-Unit,3.0,30.0,28.0,34.0
189,2023-03-28,Single-Family,26.0,121.0,84.0,79.0
190,2023-03-28,Residential,45.0,218.0,178.0,182.0
191,2023-03-28,Mixed-Use/Other,0.0,6.0,0.0,5.0
192,2023-04-22,Commercial,2.0,8.0,7.0,8.0
193,2023-04-22,Duplex,14.0,69.0,70.0,64.0
194,2023-04-22,Empty Lot,46.0,62.0,7.0,77.0
195,2023-04-22,Mixed-Use,0.0,5.0,1.0,5.0
196,2023-04-22,Multi-Unit,3.0,29.0,31.0,31.0
197,2023-04-22,Single-Family,21.0,124.0,83.0,79.0
198,2023-04-22,Residential,38.0,222.0,184.0,174.0
199,2023-04-22,Mixed-Use/Other,0.0,5.0,1.0,5.0
200,2023-05-02,Commercial,1.0,2.0,5.0,17.0
201,2023-05-02,Duplex,4.0,68.0,82.0,88.0
202,2023-05-02,Empty Lot,8.0,87.0,15.0,88.0
203,2023-05-02,Mixed-Use,0.0,2.0,3.0,6.0
204,2023-05-02,Multi-Unit,3.0,18.0,35.0,39.0
205,2023-05-02,Single-Family,4.0,134.0,102.0,105.0
206,2023-05-02,Residential,11.0,220.0,219.0,232.0
207,2023-05-02,Mixed-Use/Other,0.0,2.0,3.0,6.0
208,2023-11-01,Commercial,1.0,7.0,4.0,12.0
209,2023-11-01,Duplex,10.0,67.0,69.0,74.0
210,2023-11-01,Empty Lot,15.0,90.0,11.0,76.0
211,2023-11-01,Mixed-Use,1.0,5.0,2.0,6.0
212,2023-11-01,Multi-Unit,2.0,31.0,29.0,39.0
213,2023-11-01,Single-Family,25.0,129.0,87.0,92.0
214,2023-11-01,Residential,37.0,227.0,185.0,205.0
215,2023-11-01,Mixed-Use/Other,1.0,5.0,2.0,6.0
