,Date,Type,B_Zero,B_Low,B_Medium,B_High
74,2022-02-21,Empty Lot,8.0,27.0,5.0,53.0
75,2022-02-21,Mixed-Use,0.0,3.0,5.0,8.0
76,2022-02-21,Multi-Unit,5.0,12.0,13.0,22.0
77,2022-02-21,Single-Family,35.0,82.0,50.0,79.0
78,2022-03-10,Commercial,3.0,6.0,4.0,13.0
79,2022-03-10,Duplex,18.0,42.0,37.0,62.0
80,2022-03-10,Empty Lot,11.0,27.0,4.0,53.0
81,2022-03-10,Mixed-Use,0.0,3.0,5.0,8.0
82,2022-03-10,Multi-Unit,6.0,11.0,12.0,23.0
83,2022-03-10,Single-Family,37.0,84.0,61.0,74.0
84,2022-04-23,Commercial,2.0,8.0,2.0,13.0
85,2022-04-23,Duplex,20.0,37.0,46.0,56.0
86,2022-04-23,Empty Lot,13.0,26.0,4.0,53.0
87,2022-04-23,Mixed-Use,0.0,2.0,6.0,8.0
88,2022-04-23,Multi-Unit,6.0,11.0,13.0,24.0
89,2022-04-23,Single-Family,40.0,81.0,58.0,78.0
90,2022-06-05,Commercial,3.0,6.0,4.0,13.0
91,2022-06-05,Duplex,24.0,36.0,38.0,60.0
92,2022-06-05,Empty Lot,14.0,25.0,5.0,53.0
93,2022-06-05,Mixed-Use,0.0,2.0,5.0,8.0
94,2022-06-05,Multi-Unit,7.0,13.0,13.0,24.0
95,2022-06-05,Single-Family,39.0,79.0,61.0,83.0
96,2022-06-23,Commercial,3.0,6.0,5.0,11.0
97,2022-06-23,Duplex,22.0,36.0,41.0,59.0
98,2022-06-23,Empty Lot,15.0,27.0,4.0,53.0
99,2022-06-23,Mixed-Use,0.0,4.0,4.0,7.0
100,2022-06-23,Multi-Unit,7.0,12.0,14.0,24.0
101,2022-06-23,Single-Family,41.0,80.0,59.0,83.0
102,2022-07-17,Commercial,3.0,5.0,6.0,11.0
103,2022-07-17,Duplex,27.0,36.0,42.0,61.0
104,2022-07-17,Empty Lot,15.0,28.0,5.0,52.0
105,2022-07-17,Mixed-Use,0.0,4.0,4.0,7.0
106,2022-07-17,Multi-Unit,7.0,16.0,17.0,22.0
107,2022-07-17,Single-Family,44.0,90.0,56.0,84.0
108,2022-08-11,Commercial,2.0,5.0,5.0,11.0
109,2022-08-11,Duplex,30.0,38.0,44.0,57.0
110,2022-08-11,Empty Lot,16.0,32.0,7.0,55.0
111,2022-08-11,Mixed-Use,0.0,4.0,3.0,7.0
112,2022-08-11,Multi-Unit,7.0,18.0,14.0,24.0
113,2022-08-11,Single-Family,47.0,85.0,60.0,82.0
114,2022-09-13,Commercial,1.0,6.0,4.0,11.0
115,2022-09-13,Duplex,30.0,39.0,41.0,59.0
116,2022-09-13,Empty Lot,16.0,33.0,7.0,58.0
117,2022-09-13,Mixed-Use,0.0,4.0,2.0,8.0
118,2022-09-13,Multi-Unit,5.0,17.0,13.0,23.0
119,2022-09-13,Single-Family,47.0,74.0,67.0,76.0
120,2022-10-18,Commercial,1.0,7.0,4.0,9.0
121,2022-10-18,Duplex,13.0,37.0,43.0,59.0
122,2022-10-18,Empty Lot,19.0,31.0,9.0,58.0
123,2022-10-18,Mixed-Use,0.0,3.0,3.0,8.0
