,Date,Type,B_Zero,B_Low,B_Medium,B_High
278,2021-06-24,Residential,129.0,236.0,164.0,218.0
279,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
280,2021-06-24,Residential,129.0,236.0,164.0,218.0
281,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
282,2021-06-24,Residential,129.0,236.0,164.0,218.0
283,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
284,2021-06-24,Residential,129.0,236.0,164.0,218.0
285,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
286,2021-06-24,Residential,129.0,236.0,164.0,218.0
287,2021-06-24,Mixed-Use/Other,1.0,3.0,2.0,5.0
288,2021-07-17,Commercial,6.0,9.0,4.0,11.0
289,2021-07-17,Duplex,39.0,87.0,50.0,83.0
290,2021-07-17,Empty Lot,17.0,60.0,11.0,4.0
291,2021-07-17,Mixed-Use,1.0,3.0,2.0,5.0
292,2021-07-17,Multi-Unit,10.0,24.0,26.0,45.0
293,2021-07-17,Single-Family,79.0,125.0,88.0,91.0
294,2021-07-17,Residential,128.0,236.0,164.0,219.0
295,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
296,2021-07-17,Residential,128.0,236.0,164.0,219.0
297,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
298,2021-07-17,Residential,128.0,236.0,164.0,219.0
299,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
300,2021-07-17,Residential,128.0,236.0,164.0,219.0
301,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
302,2021-07-17,Residential,128.0,236.0,164.0,219.0
303,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
304,2021-07-17,Residential,128.0,236.0,164.0,219.0
305,2021-07-17,Mixed-Use/Other,1.0,3.0,2.0,5.0
306,2021-08-18,Commercial,5.0,9.0,4.0,11.0
307,2021-08-18,Duplex,40.0,83.0,53.0,83.0
308,2021-08-18,Empty Lot,19.0,59.0,11.0,4.0
309,2021-08-18,Mixed-Use,1.0,3.0,3.0,5.0
310,2021-08-18,Multi-Unit,11.0,24.0,26.0,45.0
311,2021-08-18,Single-Family,83.0,123.0,89.0,92.0
312,2021-08-18,Residential,134.0,230.0,168.0,220.0
313,2021-08-18,Mixed-Use/Other,1.0,3.0,3.0,5.0
314,2021-08-18,Residential,134.0,230.0,168.0,220.0
315,2021-08-18,Mixed-Use/Other,1.0,3.0,3.0,5.0
316,2021-08-18,Residential,134.0,230.0,168.0,220.0
317,2021-08-18,Mixed-Use/Other,1.0,3.0,3.0,5.0
318,2021-08-18,Residential,134.0,230.0,168.0,220.0
319,2021-08-18,Mixed-Use/Other,1.0,3.0,3.0,5.0
320,2021-08-18,Residential,134.0,230.0,168.0,220.0
321,2021-08-18,Mixed-Use/Other,1.0,3.0,3.0,5.0
322,2021-08-18,Residential,134.0,230.0,168.0,220.0
323,2021-08-18,Mixed-Use/Other,1.0,3.0,3.0,5.0
324,2021-09-22,Commercial,5.0,8.0,4.0,11.0
325,2021-09-22,Duplex,42.0,84.0,54.0,83.0
326,2021-09-22,Empty Lot,20.0,59.0,11.0,4.0
327,2021-09-22,Mixed-Use,1.0,3.0,3.0,5.0
328,2021-09-22,Multi-Unit,12.0,24.0,25.0,46.0
329,2021-09-22,Single-Family,85.0,123.0,91.0,92.0
330,2021-09-22,Residential,139.0,231.0,170.0,221.0
331,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
332,2021-09-22,Residential,139.0,231.0,170.0,221.0
333,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
334,2021-09-22,Residential,139.0,231.0,170.0,221.0
335,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
336,2021-09-22,Residential,139.0,231.0,170.0,221.0
337,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
338,2021-09-22,Residential,139.0,231.0,170.0,221.0
339,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
340,2021-09-22,Residential,139.0,231.0,170.0,221.0
341,2021-09-22,Mixed-Use/Other,1.0,3.0,3.0,5.0
342,2021-10-15,Commercial,5.0,8.0,4.0,11.0
343,2021-10-15,Duplex,39.0,85.0,55.0,83.0
344,2021-10-15,Empty Lot,21.0,57.0,12.0,4.0
345,2021-10-15,Mixed-Use,1.0,5.0,3.0,6.0
346,2021-10-15,Multi-Unit,13.0,24.0,24.0,46.0
347,2021-10-15,Single-Family,89.0,124.0,94.0,91.0
348,2021-10-15,Residential,141.0,233.0,173.0,220.0
349,2021-10-15,Mixed-Use/Other,1.0,5.0,3.0,6.0
350,2021-10-15,Residential,141.0,233.0,173.0,220.0
351,2021-10-15,Mixed-Use/Other,1.0,5.0,3.0,6.0
352,2021-10-15,Residential,141.0,233.0,173.0,220.0
353,2021-10-15,Mixed-Use/Other,1.0,5.0,3.0,6.0
354,2021-10-15,Residential,141.0,233.0,173.0,220.0
355,2021-10-15,Mixed-Use/Other,1.0,5.0,3.0,6.0
356,2021-10-15,Residential,141.0,233.0,173.0,220.0
357,2021-10-15,Mixed-Use/Other,1.0,5.0,3.0,6.0
358,2021-10-15,Residential,141.0,233.0,173.0,220.0
359,2021-10-15,Mixed-Use/Other,1.0,5.0,3.0,6.0
360,2021-11-24,Commercial,5.0,9.0,4.0,11.0
361,2021-11-24,Duplex,42.0,83.0,57.0,82.0
362,2021-11-24,Empty Lot,24.0,54.0,13.0,3.0
363,2021-11-24,Mixed-Use,1.0,4.0,3.0,6.0
364,2021-11-24,Multi-Unit,12.0,26.0,27.0,45.0
365,2021-11-24,Single-Family,89.0,125.0,93.0,94.0
366,2021-11-24,Residential,143.0,234.0,177.0,221.0
367,2021-11-24,Mixed-Use/Other,1.0,4.0,3.0,6.0
368,2021-11-24,Residential,143.0,234.0,177.0,221.0
369,2021-11-24,Mixed-Use/Other,1.0,4.0,3.0,6.0
370,2021-11-24,Residential,143.0,234.0,177.0,221.0
371,2021-11-24,Mixed-Use/Other,1.0,4.0,3.0,6.0
372,2021-11-24,Residential,143.0,234.0,177.0,221.0
373,2021-11-24,Mixed-Use/Other,1.0,4.0,3.0,6.0
374,2021-11-24,Residential,143.0,234.0,177.0,221.0
375,2021-11-24,Mixed-Use/Other,1.0,4.0,3.0,6.0
376,2021-11-24,Residential,143.0,234.0,177.0,221.0
377,2021-11-24,Mixed-Use/Other,1.0,4.0,3.0,6.0
378,2021-12-20,Commercial,5.0,10.0,4.0,11.0
379,2021-12-20,Duplex,43.0,82.0,56.0,83.0
380,2021-12-20,Empty Lot,24.0,54.0,13.0,3.0
381,2021-12-20,Mixed-Use,1.0,4.0,3.0,6.0
382,2021-12-20,Multi-Unit,12.0,24.0,28.0,45.0
383,2021-12-20,Single-Family,90.0,124.0,94.0,95.0
384,2021-12-20,Residential,145.0,230.0,178.0,223.0
385,2021-12-20,Mixed-Use/Other,1.0,4.0,3.0,6.0
386,2021-12-20,Residential,145.0,230.0,178.0,223.0
387,2021-12-20,Mixed-Use/Other,1.0,4.0,3.0,6.0
388,2021-12-20,Residential,145.0,230.0,178.0,223.0
389,2021-12-20,Mixed-Use/Other,1.0,4.0,3.0,6.0
390,2021-12-20,Residential,145.0,230.0,178.0,223.0
391,2021-12-20,Mixed-Use/Other,1.0,4.0,3.0,6.0
392,2021-12-20,Residential,145.0,230.0,178.0,223.0
393,2021-12-20,Mixed-Use/Other,1.0,4.0,3.0,6.0
394,2021-12-20,Residential,145.0,230.0,178.0,223.0
395,2021-12-20,Mixed-Use/Other,1.0,4.0,3.0,6.0
396,2021-12-22,Commercial,6.0,10.0,5.0,8.0
397,2021-12-22,Duplex,50.0,82.0,54.0,80.0
398,2021-12-22,Empty Lot,30.0,55.0,11.0,2.0
399,2021-12-22,Mixed-Use,3.0,3.0,3.0,6.0
400,2021-12-22,Multi-Unit,13.0,23.0,33.0,37.0
401,2021-12-22,Single-Family,89.0,135.0,77.0,81.0
402,2021-12-22,Residential,152.0,240.0,164.0,198.0
403,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
404,2021-12-22,Residential,152.0,240.0,164.0,198.0
405,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
406,2021-12-22,Residential,152.0,240.0,164.0,198.0
407,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
408,2021-12-22,Residential,152.0,240.0,164.0,198.0
409,2021-12-22,Mixed-Use/Other,3.0,3.0,3.0,6.0
